Date,Sender,Message
2025-02-20T08:02:16+00:00,@Hezbollah_com,"✅ تاکسی‌ برقی‌های شاسی‌بلند تهران رونمایی شد/ پزشکیان پشت فرمان تاکسی برقی نشست

✅ صبح امروز با حضور رئیس‌جمهور و شهردار تهران، ۱۷۰۰ تاکسی برقی، ۲۰۰ اتوبوس برقی و دو رام تراموای برقی وارد حمل و نقل عمومی پایتخت شد.

کانال مقاومت اسلامی حزب الله 
✅ ️ @Hezbollah_com"
2025-02-19T17:01:04+00:00,@Hezbollah_com,"از نگاه حاچ قاسم سلیمانی مهم‌ترین مسألهٔ ترامپ در منطقه چیست؟

 کانال مقاومت اسلامی حزب الله👇 
 ☑️ @Hezbollah_com"
2025-02-19T11:09:53+00:00,@Hezbollah_com,"✅ ️حمله پهپادی به یک خودرو در حومه شهر عیتا الشعب در جنوب لبنان

✅ ️ @Hezbollah_com"
2025-02-18T17:13:15+00:00,@Hezbollah_com,"✅ ️سردار حاجی زاده: در عملیات وعده صادق ۲ یکی از اهدافی که زدیم نتساریم بود که وسط غزه بود که نیروهای رژیم انجا بودند

وقتی زدیم حضرت آقا گفتند حماسی‌ها را که نزدین و به ایشان با اطمینان گفتیم خیالتان راحت باشد.

✅ ️ @Hezbollah_com"
2025-02-18T13:24:14+00:00,@Hezbollah_com,"✅ دستاورد قابل توجه متخصصان داخلی در پتروشیمی مروارید/ اقدامی که منجر به صرفه جویی 50 میلیارد تومانی شد

✅ در مراسمی با حضور حسن عباس زاده مدیرعامل شرکت ملی صنایع پتروشیمی، امید شاکری معاون وزیر نفت در امور مهندسی، پژوهش و فناوری و حسام خوشبین فر مدیرعامل شرکت پتروشیمی مروارید از «کنترل ولو دی سوپر هیتر» تولید داخل این شرکت پتروشیمی رونمایی شد.
✅ خوشبین فر مدیرعامل پتروشیمی مروارید گفت: این رونمایی، فقط یک دستاورد فنی نیست، بلکه یک نشانه از بلوغ صنعتی کشور و اثبات توانمندی متخصصان داخلی است. قیمت هر تجهیز وارداتی معادل ۱۲۰ هزار یورو بوده که با ایرانی‌سازی آن سالانه معادل ۵۰ میلیارد تومان از صرفه جویی ارزی صورت می گیرد.

✅ کانال مقاومت اسلامی حزب الله 
✅ ️ @Hezbollah_com"
2025-02-18T07:50:43+00:00,@Hezbollah_com,"امیر موسوی فرمانده ارتش:
🔹باید دشمن را با همه‌ی واقعیت‌هایش دید و برای همه‌ی توانایی‌هایش برنامه‌ریزی کرد.
🔹خودمان را هم نه حقیر بپنداریم و نه بیش از آنچه که واقعیت دارد بزرگ بپنداریم.

 کانال مقاومت اسلامی حزب الله👇 
 ☑️ @Hezbollah_com"
2025-02-17T18:45:23+00:00,@Hezbollah_com,"✅ ️شاخه نظامی حماس به طور رسمی شهادت محمد شاهین را اعلام کرد.

✅ ️ @Hezbollah_com"
2025-02-17T17:15:34+00:00,@Hezbollah_com,"✅ ️ یدیعوت آحارونوت: حماس هنوز هزاران جنگجو، صدها فرمانده و شبکه‌ای از تونل‌ها را در اختیار دارد که هنوز کشف نشده است.

✅ ️ @Hezbollah_com"
2025-02-17T15:52:34+00:00,@Hezbollah_com,"✅ ️️ارتش رژیم صهیونیستی اعلام کرد  که به جز پنج منطقه استراتژیک در خاک لبنان از بقیه مناطق عقب نشینی می‌کند 

✅ همچنین ارتش رژیم صهیونیستی اعلام کرد در صورتی از این ۵ منطقه عقب نشینی می‌کند که ارتش لبنان بتواند طبق متن توافق به وظایف خود عمل کند

✅ ️ @Hezbollah_com"
2025-02-17T12:00:34+00:00,@Hezbollah_com,"✅ ️رئیس کمیته رسانه مراسم تشییع شهدای حزب‌الله لبنان:

✅ ۵۰۰ شخصیت  از بیش از ۷۹ کشور در مراسم تشییع پیکر شهیدان سیدحسن نصرالله و هاشم صفی‌الدین شرکت می کنند/ این مراسم بی نظیر خواهد بود 
✅ بیش از ۳۰ هزار نفر از اصحاب رسانه در مراسم تشییع پیکر شهیدان سیدحسن نصرالله و هاشم صفی‌الدین شرکت می کنند.

✅ عربده‌کشی اسرائیلی‌ها تاثیری در حضور ایرانی‌ها در مراسم تشییع ندارد/ تعداد بیشماری از ایرانیان الان در لبنان حضور دارند.

#إنا_على_العهد

✅ ️ @Hezbollah_com"
