Date,Sender,Message
2025-01-31T05:07:58+00:00,-1001863854271,"Вчера на YouTube–эфире говорил о перегруппировке противника и подготовке к весенней компании. Напишу об этом коротко в ТГ, ведь не все Вы смотрите мой YouTube канал.

В течении двух недель российские войска проведут перегруппировку и начнут подготовку к весенней наступательной компании, в том числе и в Курской области. В новой компании противник планирует задействовать северокорейские 170-мм САУ М-1989 Koksan, дальность стрельбы которых от 40 до 60 км в зависимости от типа снаряда. Также противник делает ставку на масштабирование производства FPV-дронов на оптоволокне."
2025-01-30T08:27:39+00:00,-1001863854271,"Продовжуємо збір для бійців 148-ої ОАБр ЗСУ на Покровському напрямку.

Залишилось зібрати – 152 656 грн.

● БПЛА Mavic 3 Pro - 2 штуки = 120 000 грн.
● Радіоприймач для FPV-камікадзе 2.4GHz - 50 штук ≈ 22 000 грн;
● Плата ініціації для FPV-камікадзе - 100 штук ≈ 39 500 грн;


💸 МоноБанка

Номер картки банки – 4441 1111 2799 8015


Звіт за перші 50 плат.
🔵 Зв'язок – @Anton_Grad
✈️допомагайте репостом✈️"
2025-01-30T08:27:39+00:00,-1001863854271,"Продовжуємо збір для бійців 148-ої ОАБр ЗСУ на Покровському напрямку.

Залишилось зібрати – 152 656 грн.

● БПЛА Mavic 3 Pro - 2 штуки = 120 000 грн.
● Радіоприймач для FPV-камікадзе 2.4GHz - 50 штук ≈ 22 000 грн;
● Плата ініціації для FPV-камікадзе - 100 штук ≈ 39 500 грн;


💸 МоноБанка

Номер картки банки – 4441 1111 2799 8015


Звіт за перші 50 плат.
🔵 Зв'язок – @Anton_Grad
✈️допомагайте репостом✈️"
2025-01-28T05:24:27+00:00,-1001863854271,"Мали 🇲🇱

Малийские новостные ресурсы сообщают об окончательном развертывании сил российского «Африканского Корпуса» в Мали и называют цифру в более чем 1000 российских военных находящихся на территории страны. 

По информации с мест, большая партия военной техники и часть личного состава прибыли из Сирии. Ожидается, по сообщениям местных источников, что к лету туареги обучат операторов БПЛА и накопят необходимые ресурсы для наступления на позиции правительственных и российских сил, что вынуждает последних уже сейчас начать подготовку и увеличение численности личного состава.

Вопрос о переброске российской техники и личного состава из Сирии в Украину закрыт. Их точно не перебросят к нам, учитывая ещё и подобную информацию из Ливии, Чада и Буркина-Фасо.

🔵Подписаться"
2025-01-27T08:04:41+00:00,-1001863854271,"Продовжуємо збір для бійців 148-ої ОАБр ЗСУ на Покровському напрямку.

Залишилось зібрати – 161 211 грн.

● БПЛА Mavic 3 Pro - 2 штуки = 120 000 грн.
● Радіоприймач для FPV-камікадзе 2.4GHz - 50 штук ≈ 22 000 грн;
● Плата ініціації для FPV-камікадзе - 100 штук ≈ 39 500 грн;


💸 МоноБанка

Номер картки банки – 4441 1111 2799 8015


Звіт за перші 50 плат.
🔵 Зв'язок – @Anton_Grad
✈️допомагайте репостом✈️"
2025-01-25T14:18:33+00:00,-1001863854271,"В Великой Новосёлке противник установил флаг в южной части посёлка. Конфигурация линии фронта на доуточнении.

🔵Подписаться 
🟥YouTube
📍Карта"
2025-01-24T14:57:25+00:00,-1001863854271,"Путин заявил, что РФ готова к переговорам по Украине. Москва видит заявления Трампа о готовности к совместной работе, всегда к этому открыта.

Также Путин заявил, что решение Зеленского о запрете диалога с РФ делает нелегитимными возможные переговоры."
2025-01-23T17:24:53+00:00,-1001863854271,"Дональд Трамп сделал ряд заявлений:

Отвечая на вопрос, будет ли заключено мирное соглашение между Украиной и РФ до следующего форума в Давосе, Трамп ответил, что нужно спросить об этом у Кремля: «Спросите Россию. Украина готова к соглашению».

«Буду просить Саудовскую Аравию и ОПЕК снизить цены на нефть. Если цена упадёт, российско-украинская война закончится немедленно».

«Я надеюсь, Китай поможет нам остановить войну России против Украины. Мы говорили об этом с председателем Си неделю назад».

«Я хочу попросить все страны НАТО увеличить расходы на оборону до 5%».

России очень понравилась идея США сокращать арсеналы ядерного оружия. Китаю тоже.

США готовы гарантировать масштабные поставки энергоресурсов в ЕС."
2025-01-23T05:02:49+00:00,-1001863854271,"Судан. Подготовка к перевороту.

В декабре 2024 года власти Судана в очередной раз отказались размещать у себя военно-морскую базу России из-за опасений, что это может вызвать негативную реакцию США и других стран Запада. 

Спустя месяц, в середине января, Верховный главнокомандующий Ливийской национальной армии Халифа Хафтар предоставил российскому «Африканскому корпусу» контроль над авиабазой Маатен-ас-Сарра на юго-востоке Ливии, недалеко от границы с Чадом и Суданом, для снабжения таких стран, как Мали, Буркина-Фасо и Судан. Дополнительно, для охраны, на авиабазу был переброшен батальон Ливийской национальной армии «Субуль ас-Салям».

В это же время региональный губернатор Дарфура Мини Арко Минави заявил, что через Ливию в Судан въехало около четырёхсот различных военных машин. Также местные источники сообщают, что к повстанческим Силами быстрого реагирования прибывает подкрепление с территории Ливии. 

После смерти главы ЧВК «Вагнер» Евгения Пригожина Москва дистанцировалась от Сил быстрого реагирования и наладила более тесные связи с генералом Абдель Фаттахом аль-Бурханом, главнокомандующим вооруженных сил Судана, с которым Россия планировала заключить договор о строительстве военно-морской базы. При этом, как отмечают ливийские источники, Россия не препятствуют поставкам грузов с территории Ливии в Судан Силам быстрого реагирования, что уже говорит о начавшемся давлении на власти Судана."
2025-01-21T03:15:10+00:00,-1001863854271,"Президент США Дональд Трамп заявил, что планирует встретиться с президентом России после того, как будут начаты переговоры, процесс которых, по его словам, уже идет.

Марко Рубио, утвержденный Сенатом на пост государственного секретаря, заявил, что не может назвать точных сроков окончания войны между Россией и Украиной, но сообщил журналистам, что каждой стороне придется пойти на «кое-какие уступки» в качестве естественной части разрешения любого конфликта, признав при этом Россию «агрессором»."
2025-01-19T07:02:18+00:00,-1001863854271,"Дональд Трамп прибыл в Вашингтон для подготовки к своей инаугурации, которая пройдет завтра.

Новоизбранный американский президент Дональд Трамп сказал советникам, что вскоре после вступления в должность хотел бы посетить Китай, чтобы углубить личные связи с китайским лидером Си Цзиньпином."
2025-01-17T17:48:06+00:00,-1001863854271,"Великоновосёлковское направление. Противник установил флаг в северной части н.п. Времевка. Боестолкновения продолжаются в направлении кладбища. На карту добавлены уточнения.

На Боровском (Купянское) направление российские войска в течении последних двух недель предприняли ряд накатов пехотными подразделениями вдоль ряда лесополос в направлении н.п. Зелёный Гай. По сообщениям бойцов ВСУ и кадрам с дронов, с ряда позиций противник был выбит, однако не оставляет попыток улучшить свои тактические позиции в районе урочищ севернее Зелёного Гая.

🔵Подписаться 
 🟥YouTube
📍Карта"
